"problem_id","problem_name","keywords","office_id","status","adminReply","createdAt","createdBy","source"
"1","ID Card & Identity Issues","id, idcard, identity, lost id, damaged card, new id, id reissue, missing id, swipe card, id card issue","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"2","Fee, Accounts & Payment Issues","fee, fees, payment, pay, transaction, receipt, slip, challan, accounts, refund, late fee, fee issue, payment failed","2","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"3","Scholarship & Financial Aid Issues","scholarship, scholar, financial aid, stipend, fee waiver, disbursement, renewal, scholarship form, bank details","3","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"4","Bonafide / Certificate Issues","bonafide, certificate, character certificate, transcript, marksheet, provisional, migration, degree copy, document request","4","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"5","Hostel Issues","hostel, warden, room, mess, food, water, electricity, maintenance, repair, cleanliness, curfew, hostel fees, room change","5","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"6","Transport & Bus Issues","bus, transport, shuttle, pass, route, timing, schedule, crowded bus, bus card, pick up, drop","6","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"7","Medical / Health Center Issues","medical, health, doctor, nurse, clinic, first aid, injury, sick, medicine, emergency","7","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"8","Library Issues","library, book, issue book, return book, fine, library card, study area, reading room, overdue, renew book","8","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"9","Academic / Course Registration","course, registration, add drop, electives, credits, subject change, academic issue, course form, elective","9","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"10","Exam & Exam Form Issues","exam, exam form, admit card, datesheet, exam fee, revaluation, backlog, result issue, marks correction","10","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"11","Attendance Issues","attendance, absent, present, update attendance, low attendance, wrong attendance, attendance correction","11","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"12","Teacher / Faculty Related","teacher, faculty, cabin, meet teacher, appointment, teacher room, faculty issue","12","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"13","Counselling / Student Support","counselling, counselor, support, mental health, stress, harassment, ragging, complaint, grievance","13","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"14","Technical / IT Support","technical, portal, lms, login, password, wifi, internet, email, tech issue, reset password","14","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"15","Placement & Internship","placement, internship, resume, training, job fair, placement cell, campus drive, offer letter, registration","15","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"16","Admission & Enrollment","admission, enroll, enrollment, document upload, admission form, registration number, new admission","16","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"17","Timetable & Class Scheduling","timetable, schedule, class timing, lecture change, class change, section change, room allotment","17","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"18","Safety & Security Issues","safety, security, lost item, theft, emergency, security guard, safety issue","18","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"19","General Campus Facilities","water cooler, washroom, toilet, cleanliness, dustbin, canteen, parking, campus facility, maintenance","19","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"20","Complaint & Grievance","complaint, grievance, issue, report, problem, feedback, student complaint, escalate issue","20","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"21","How to get a new student ID card","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"22","Where to report lost ID card","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"23","Process for damaged ID card replacement","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"24","How long does ID card reissue take","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"25","ID card not working at campus gate","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"26","How to update photo on student ID","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"27","Temporary ID card issuance process","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"28","ID card fee and payment details","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"29","What to do if ID card is stolen","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"30","Can I get ID card before admission formalities","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"31","Where is the ID card office located","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"32","ID card for new batch students process","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"33","How to verify authenticity of student ID","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"34","ID card for alumni access process","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"35","RFID card registration process","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"36","How to get gate pass without ID card","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"37","ID card renewal for PG students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"38","How many days before ID card is ready","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"39","Who issues ID cards at college","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"40","How to collect ID card after applying","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"41","ID card for distance learning students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"42","Online ID card application process","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"43","ID card for hostel students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"44","How to link ID card with library account","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"45","Emergency ID card process during exams","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"46","Who is responsible for ID card issues in CSE department","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"47","Block and room number of ID card office","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"48","Can parents collect student ID card","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"49","ID card for sponsored students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"50","ID card for lateral entry students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"51","How to get duplicate ID card","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"52","Digital ID card availability at college","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"53","ID card barcode not scanning issue","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"54","Faculty ID card process","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"55","ID card for research scholars","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"56","ID card complaint escalation process","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"57","ID card number for exam form filling","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"58","Old ID card valid after semester change","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"59","ID card return process on graduation","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"60","Smart card linking with ID card","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"61","Contact number of ID card issuing office","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"62","Email of ID card office for queries","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"63","ID card office working hours","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"64","ID card block location in campus","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"65","New ID card distribution schedule","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"66","How to get ID card urgently","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"67","ID card for re-admitted students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"68","ID card replacement cost","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"69","ID card application form download","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"70","ID card for evening batch students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"71","ID card authority contact for management school","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"72","ID card help for first year students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"73","How is ID card linked to attendance system","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"74","Smart ID card features at college","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"75","ID card tracking system process","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"76","ID card format and details included","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"77","ID card validity period","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"78","ID card for certificate program students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"79","ID card issuance office in campus","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"80","ID card suspension process for violations","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"81","ID card renewal steps after expiry","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"82","ID card for MOOCs students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"83","Process for ID card block removal","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"84","ID card for students on exchange program","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"85","ID card for visiting students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"86","Where to apply for ID card in law school","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"87","Where to apply for ID card in management school","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"88","ID card authority contact for pharmacy school","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"89","ID card collection from specific campus block","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"90","How to update enrollment number on ID card","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"91","How to get ID card with accessibility features","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"92","How many working days to get ID card","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"93","ID card authority for school of sciences","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"94","Role of ID card in college administration","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"95","Why is ID card required on campus","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"96","What if ID card is expired during exam","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"97","How to change department on ID card","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"98","ID card system maintenance schedule","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"99","ID card complaint against incorrect data","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"100","ID card generation portal access","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"101","How to verify ID card at gate","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"102","Replacement ID card after name correction","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"103","ID card contact for education school","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"104","ID card for hotel management students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"105","ID card and access control system at college","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"106","What documents needed for ID card issuance","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"107","How to avoid ID card issues","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"108","ID card policy for students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"109","ID card for part-time students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"110","ID card for working professional students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"111","How to get ID card with disability accommodation","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"112","ID card format for PhD students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"113","What to do when ID card found by someone","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"114","Official notice for ID card collection","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"115","ID card query contact for architecture school","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"116","How to know ID card status online","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"117","Deadline for new students to get ID card","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"118","ID card for lateral entry BCA students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"119","Who can I contact if ID card office is closed","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"120","ID card for joint degree students","id card, identity, lost id, damaged card","1","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
"121","Fee payment deadline for current semester","fee, fees, payment, challan","2","unsolved",NULL,"2026-04-06 15:25:07",NULL,"system"
